Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When							Disclosure: Additional Info									
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Longitudinal monitoring of actionable somatic alterations in advanced cholangiocarcinoma from circulating tumor DNA profiling 	abstract	Alex Barrett/Alex Le	pp: Matthew Kase	Alex Barrett, Alexander Le, Greg Call	Pashtoon Kasi	Pashtoon Kasi - University of Iowa	Ania Schwarzbach	Clinical/Pharma Commercial	CCA Foundation Annual Meeting		2021 Q1		4/1/21		2021 Q2	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required				No	Accepted for oral presentation	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Matched Whole-Genome Sequencing (WGS) and Whole-Exome Sequencing (WES) of Tumor Tissue with Circulating Tumor DNA (ctDNA) Analysis: Complementary Modalities in Clinical Practice	manuscript	Ali Nagle			Ashiq Masood	Ashiq Masood - Rush University	Ania Schwarzbach	Clinical Commercial	Cancers		2019 Q3  7/29/19		9/19/19		2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.3390/cancers11091399	31546879	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Mutation Status and Epithelial Differentiation Stratify Recurrence Risk in Chordoid Meningioma—A Multicenter Study with High Prognostic Relevance 	manuscript	Mike Caldwell (POp)			MM Georgescu	MM Georgescu - LSU Shreveport	Ania Schwarzbach	Clinical Commercial	Cancers		2019 Q4  11/9/19		1/17/20		2020 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.3390/cancers12010225	31963394	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Molecular portraits of metastatic breast cancer using tissue next-generation sequencing	abstract	Megan Pelino (POp)			Massimo Cristofanilli	Cristofanilli - Northwestern	Ania Schwarzbach	Clinical Commercial	Cancer Research / SABCS 2019				2/15/20		2020 Q1	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Evaluating clinical features and prognostic factors associated with response to immune checkpoint blockade in mNSCLC patients	abstract	Prerna Jain / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Clinical Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2587  Abstract Number: 773  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Cytotoxic CD4+ T cells mediate anti-tumor immune responses in non-small cell lung cancer	abstract	Denise Lau / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Algos	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2081  Abstract Number: 1487  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Characterizing differences in checkpoint inhibitor biomarkers, PD-L1 concordance, and the transcriptome in a real-world cohort of stage III and IV non-small cell lung cancer patients	abstract	Michelle Stein / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2571  Abstract Number: 1616  Accepted for: Poster	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Incidence of KRAS and other notable molecular alterations in patients (pts) with pancreatic cancer (PC) utilizing a commercially available comprehensive genomic profiling (CGP) panel and comparison to The Cancer Genome Atlas (TCGA) database	abstract	Alex Le	pp: Namratha Sastry	Alex Le, Jeff Schaefer, Nick Olsen, Matt Sonnleitner, and Lorenzo Grego	Bing Zhang, Kim Worley, William Fischer, Benjamin Musher	Bing Zhang, Kim Worley, William Fischer, Benjamin Musher - Baylor College of Medicine	Ania Schwarzbach	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2021 Q1 2/17/21	2020 Q4 11/19/20		3/10/21		2021 Q1	 Pancreatic cancer	No CLQ data included	LENS cohort selection & complete analysis	No IRB Required				Yes	Only using BCM panc. cases for abstract; not in ERRC spreadsheet  Abstract Control Number: 1749  Abstract Number: 867  Accepted for: Poster	
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Genomic Characterization and Monitoring Molecular Response to Treatment in African American (AA) Advanced Prostate Cancer (PC) Patients (Pts) via Next-Generation Sequencing (NGS): Real-world Experience in a Safety Net Hospital Oncology Clinic	abstract	Alexander Le	pp: Namratha Sastry	Alexander Le, Samantha Cohen, Maria Berezina, Anna Schwarzbach, 	Nicholas Mitsiades	Nicholas Mitsiades - Baylor College of Medicine	Anna Schwarzbach	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4	2020 Q4		3/10/21		2021 Q1	 Prostate cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	Abstract Control Number: 1369   Abstract Number: 549  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Leveraging clinical RNA-sequencing for scalable tumor immune repertoire profiling	abstract	Taylor Harding, Jason Perera / Aly Khan	Matthew Kase		Aly Khan	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2635  Abstract Number: 1675  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Comprehensive validation of RNA-sequencing for clinical NGS fusion genes and RNA expression reporting	abstract	Jerod Parsons, John Hu / Bob Tell	Namratha Sastry		Bob Tell	N/A	Joel Dudley	Clinical/Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 4029  Abstract Number: 2239  Accepted for: Poster	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transferring diagnostic and prognostic molecular models across technological platforms	abstract	Stephane Wenric, Talal Ahmed	Namratha Sastry		Rafi Pelossof	N/A	Martin Stumpe	Pharma Commercial	Cancer Research / AACR 2021	2020 Q4 11/19/20	2020 Q4 11/19/20		3/10/21		2021 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Abstract Control Number: 2878  Abstract Number: 242  Accepted for: Poster	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Recurrent transcriptional active ESR1 fusions render therapeutic vulnerabilities to kinase inhibition in metastatic breast cancer	abstract	Michael Caldwell (POp)			Matthew Ellis	Matthew Ellis	Kevin White	Clinical Commercial	Cancer Research / AACR 2020	2019 Q4 12/4/19	2019 Q4  12/5/19		5/15/20		2020 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Robust detection of sequencing batch effects in RNA through low dimensional embedding with subtype-matched reference samples	abstract	Joshua SK Bell and Joshua Drews			Kevin White	N/A	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q1  1/29/19	2019 Q1  1/29/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Yes - IP not covered by patent, but publication will be filed as a provisional	Tempus led	Multimodal prediction of diagnosis for cancers of unknown primary	abstract	Jack Michuda			Tim Taxter	N/A	Nike Beaubier	Algos	Cancer Research / AACR 2020	2019 Q4  12/4/19	2019 Q4  12/4/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Universal genetic and transcriptomic concordance metrics to validate patient-derived tumor organoid models	abstract	Brandon Mapes			Ameen Salahudeen	Rush - Borgia/Masood	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Large Scale Ultradeep Phenotypic Analysis of Patient Derived Tumor Organoids Unveils Intra- and Inter-tumor Heterogeneity of Drug Response.	abstract	Brian Larsen			Ameen Salahudeen	N/A	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Accurate estimation of circulating tumor DNA fraction from ultra-low-pass, whole-genome sequencing	abstract	Justin Finkle			Robert Tell	N/A	Kevin White	Clinical Commercial	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Identification of novel druggable fusions enabled through the use of an automated RNA fusion prioritization pipeline	abstract	Sumaiya Islam			Robert Huether	N/A	Kevin White	Clinical/Pharma Commercial	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4  12/5/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Transcriptome background tissue correction in metastatic cancers using a correlated composition admixture model	abstract	Calvin McCarter			Kevin White	N/A	Kevin White	R&D/Other	Cancer Research / AACR 2020	2019 Q4  12/5/19	2019 Q4 1 2/5/19		5/15/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Predicting oncogenic viral status using RNA signatures	abstract	Ariane Lozac’hmeur, Denise Lau			Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	Cancer Research / AACR 2019		2018 Q4 11/15/18		7/1/19		2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	accepted for poster presentation; poster created 	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Comparative analysis of genomic landscape reveals heterogeneity in HER2-positive primary breast cancers and residual disease following neoadjuvant therapy	abstract	Kevin White			Olopade	Olopade - U Chicago	Kevin White	Clinical Commercial	Cancer Research (SABCS 2019)		2019 Q3		2/20/20		2020 Q1	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Successful use of immunotherapy to treat advanced cutaneous squamous cell carcinoma in recessive dystrophic epidermolysis bullosa	manuscript	Alex Barrett	pp: Matthew Kase	Alex Barrett	Debra Wong 	Debra Wong  - University of Arizona	Ania Schwarzbach	Clinical Commercial	BMJ Case Reports	2020 Q3 8/20/20	2020 Q3 8/20/20		2/26/21		2020 Q4	Skin cancers	No CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption		10.1136/bcr-2020-238966	33637494	Yes	Re-submitted on 12/13 after manuscript was accepted with revisions	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	SMARC-B1 deficient sinonasal carcinoma metastasis to the brain with Next Generation Sequencing Data: A case report of perineural invasion progressing to leptomeningeal invasion	manuscript	Anna Schwarzbach			Analiz Rodriguez	Analiz Rodriguez - University of Arkansas Medical Sciences	Gary Palmer	Clinical Commercial	BMC Cancer		2019 Q2  4/18/19		8/22/19		2019 Q3	Head and neck cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1186/s12885-019-6043-0	31438887	Not Applicable		
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Genomic Profiling Reveals Molecular Heterogeneity in Patients with Richter’s Syndrome (RS) and Progressive Chronic Lymphocytic Leukemia (CLL)	abstract			N/A	Wei Ding	Wei Ding - Mayo Clinic		Clinical Commercial	Blood / ASH 2020	2020 Q3	2020 Q3		12/7/20		2020 Q4	 Leukemia	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus authorship)	Patient Similarity Network of Multiple Myeloma Identifies Patient Subgroups with Distinct Genetic and Clinical Features	abstract	Joel Dudley		Joel Dudley	Samir S. Parekh	N/A		Clinical Commercial	Blood / ASH 2020	2020 Q3	2020 Q3		12/7/20		2020 Q4	 Multiple myeloma	No CLQ data included	No LENS usage 	No IRB Required						
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Whole-Exome Sequencing Identifies a Somatic Cell Mutation Signature That Predicts Relapse Risk and Survival Probability in Multiple Myeloma	abstract				James J. Driscoll	James J. Driscoll - Case Western Reserve University		Clinical/Pharma Commercial	Blood / ASH 2020	2020 Q3	2020 Q3		12/5/20		2020 Q4	 Multiple myeloma	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Identification of a Novel Role for PD-1 Signaling in Promotion Tumor Proliferation in B-Cell Lymphoma	abstract				Neil E. Kay	Neil E. Kay - Mayo Clinic		Clinical Commercial	Blood / ASH 2019	2020 Q3	2020 Q3		12/7/20		2020 Q4	 Lymphoma	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	External Research: Other	Not contacted	Collaborator led (Tempus authorship)	Presence of Chip-Mutated Autologous Hematopoietic Cells in Mobilized Peripheral Blood Products Is Associated with Shorter Progression-Free Survival after Autologous Transplants for Multiple Myeloma	abstract	Mike Caldwell (POp)			James Driscoll	Ehsan Malek - UH/Case Western		Clinical Commercial	Blood / ASH 2019		2019 Q3  9/3/19		11/6/19		2019 Q4	 Multiple myeloma	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	A Feasibility Study of Biologically Focused Therapy for Myelodysplastic Syndrome Patients Refractory to Hypomethylating Agents	abstract	N/A			Peter L. Greenberg	Stanford University		Clinical Commercial	Blood / ASH 2019				11/6/19		2019 Q4	Other	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Molecular Alterations in Adult Histiocytic Neoplasms	abstract	N/A			Ronald Go	N/A		Clinical Commercial	Blood / ASH 2019				11/6/19		2019 Q4	Other	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Tumor mutational burden and other predictive immunotherapy markers in histiocytic neoplasms	manuscript	Ali Nagel, Denise Lau			Ronald Go	Ronald Go, MD; Mayo Clinic	Gary Palmer	Clinical Commercial	Blood				4/1/19		2019 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1182/blood-2018-12-893917	30696619	Yes	contributed data formatting, text writing, editing	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Redefining tumor classification and clinical stratification through a colorectal cancer single-cell atlas (Preprint)	manuscript	Ameen Salahudeen	Namratha Sastry		Ashiq Masood	Ashiq Masood - Rush University Medical Center	Joel Dudley	R&D/Other	BioRxiv				2/3/21		2020 Q1	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1101/2021.02.02.429256		Not Applicable		
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Development and Characterization of Patient-Derived Xenografts from Non-Small Cell Lung Cancer Brain Metastases 	manuscript					N/A		R&D/Other	bioRxiv				6/3/20		2020 Q2	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41598-021-81832-1	33510214	Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	(Preprint) Precision Health Diagnostic and Surveillance Network uses S Gene Target Failure (SGTF) combined with sequencing technologies to identify emerging SARS-CoV-2 variants.	manuscript	Chris Mason			David Sidransky	David Sidransky - Johns Hopkins, Rafael Guerrero-Preston - LifeGene-Biomarks, Inc.	Joel Dudley	Clinical Commercial	BioRxiv		2021 Q2 4/23/21		5/7/21		2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1101/2021.05.04.21256012		No		
Stage 7: Published	Topic / Project-specific	Contacted - Pending Decision	Collaborator led (Tempus authorship)	Safety and Efficacy of a Randomized Phase I Trial to Evaluate Concurrent Or or Sequential Ipilimumab, Nivolumab, and Stereotactic Body Radiotherapy in Patients with Stage IV Non Small Cell Lung Cancer (COSINR Study)	abstract	Abhishek Pandey, Jagadish Venkataraman			Jyoti D. Patel	Jyoti D. Patel and Steven J. Chmura - U Chicago	Martin Stumpe	Clinical Commercial	ASTRO Annual Meeting 2020	2020 Q1  2/24/20	2020 Q1  2/24/20		11/01/20		2020 Q4	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for a talk	
Stage 7: Published	Not Applicable	Unknown	Collaborator led (Tempus acknowledged or services used)	Ongoing partial response at 6 months to olaparib for metastatic melanoma with somatic PALB2 mutation after failure of immunotherapy: a case report	manuscript	Sherif El-Refai		N/A	Anthony Joshua	Anthony Joshua - Kinghorn Cancer Center		Clinical Commercial	Annals of Oncology	2020 Q3	2020 Q4 11/2020		12/4/20		2020 Q4	 Melanoma	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.annonc.2020.11.006	33308898	Not Applicable		
Stage 7: Published	Topic / Project-specific	Pending - patent application will be filed if submission is accepted	Collaborator led (Tempus authorship)	Use of a Deep Neural Network to Predict New Onset AF from the 12-lead Electrocardiogram may Help Prevent AF-related Stroke	abstract	Arun Nemani, Tanner Carbonati, Ash Hafez, Kipp Johnson, Noah Zimmerman	pp: Alex Bobe			Brandon Fornwalt, Chris Haggerty - Geisinger Health	Martin Stumpe	Clinical Commercial	American Heart Association Scientific Sessions 2020	2020 Q2	2020 Q2		11/17/20		2020 Q4	N/A	No CLQ data included	No LENS usage 	No IRB Required				Yes	The virtual podium will be presented from Nov 13-17, likely by one of our Geisinger partners (Sushravya / Brandon)	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Genetic and histologic spatiotemporal evolution of recurrent, multifocal, multicentric and metastatic glioblastoma	manuscript	Ali Nagle			Georgescu	MM Georgescu - LSU Shreveport	Ania Schwarzbach	Clinical Commercial	Acta Neuropathologica Communications				2/3/20		2020 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1186/s40478-020-0889-x	32014051	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Global activation of oncogenic pathways underlies therapy resistance in diffuse midline glioma	manuscript	Michael Caldwell, Jonathon Ball			D.K. Burns	D.K. Burns - UT Southwestern, MM Georgescu - LSU Shreveport		Clinical Commercial	Acta Neuropathologica Communications		2020 Q3 07/07/20		07/17/20		2020 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1186/s40478-020-00992-9	32680567	Not Applicable		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Novel targetable FGFR2 and FGFR3 alterations in glioblastoma associate with aggressive phenotype and distinct gene expression programs	manuscript	Michael Caldwell, Jonathon Ball			Anil Nanda	Anil Nanda - Rutgers	Kim Blackwell	Clinical/Pharma Commercial	Acta Neuropathologica Communications				4/14/21		2021 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1186/s40478-021-01170-1	33853673	Not Applicable		
Stage 7: Published	Topic / Project-specific	Not contacted	Tempus led	Genomic landscape of immunotherapy resistance in lung cancer	abstract	Denise Lau, Aly Khan			Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	AACR Tumor Immunology and Immunotherapy 2019	2019 Q3  9/4/19	2019 Q3		03/20		2020 Q1	Lung cancer	No CLQ data included	No LENS usage 	No IRB Required				No	Poster: https://drive.google.com/file/d/1dEAUFjoC0Fo4dlJ5hh6qdmctaSWrOw42/view?usp=sharing   Did not add to website due to legal concerns	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus acknowledged or services used)	Targeted next-generation sequencing (NGS) of 105 cancer-related genes in circulating tumor DNA (ctDNA) from patients with advanced cancers treated with immune checkpoint inhibitors (iCPI)	abstract	Mike Caldwell (POp)	Kelly McKinnon		Filip Janku	Janku - MD Anderson	Kim Blackwell	Clinical Commercial	AACR Tumor Immunology and Immunotherapy		2020 Q2		10/19/20		2020 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable	Video poster presentation	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Analysis of advanced quantitative computed tomography imaging features in  predicting the surgical resectability of advanced epithelial ovarian cancer	abstract	Jonathan Ball, Anna Schwarzbach			Katherine M. Moxley	DiSilvestro - Brown	Kevin White	Clinical Commercial	AACR 12th Biennial Ovarian Cancer Research Symposium 2019				9/14/19		2019 Q3	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	A mutli-institutional study assessing prevalance of deleterious germline mutations in pancreatic cancer	abstract	Bobby Huether			Davendra Sohal	Meena Sadaps - Cleveland Clinic	Kevin White	Clinical Commercial	2019 UEG Week	2019 Q2  4/26/19			1/29/19		2019 Q1	 Pancreatic cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Notifications of abstract acceptance or rejection: Mid July 2019	
Stage 7: Published	Topic / Project-specific	No IP in publication	Collaborator led (Tempus authorship)	Resolving Classification of PTEN Variants Using Gene-Specific ACMG/AMP Guidelines: A First Review of Curation Efforts by the ClinGen PTEN Variant Curation Expert Panel	abstract	Bobby Huether			Liying Zhang	Jessica L. Mester, Charis Eng, and Madhuri Hedge - ClinGen PTEN Variant Curation Expert Panel	Kevin White	Clinical Commercial	2019 Clingen: Curating the Clinical Genome (CCG)	2019 Q1 3/5/19	2019 Q1  3/5/19		5/29/19		2019 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required				Yes	accepted for poster presentation	
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Integrating RNA Expression and Visual Features for Immune Infiltrate Prediction	abstract	Denise Lau, Aly Khan			Aly Khan	N/A	Kevin White	R&D/Other	2018 AACR Tumor Immunology Conference		2018 Q3  9/6/18		7/1/19		2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	accepted for poster presentation	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Genome-Wide Analysis of Glioblastoma Patients with Unexpectedly Long Survival	manuscript	Tim Taxter			Kimo J Hatanpaa	Timothy E. Richardson, State University of New York	Nike Beaubier	Clinical Commercial	 Journal of Neuropathology and Experimental Neurology				3/29/19		2019 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1093/jnen/nlz025	31034050	Yes		
Stage 7: Published	Topic / Project-specific	Not Applicable	Tempus led	Survey of the Immunogenomic Landscape of Solid Tumors Through Clinical DNA and RNA Sequencing	abstract	Denise Lau, Alex Bobe			Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	 2019 ASCO-SITC Clinical Immuno-Oncology Symposium		2018 Q4  11/5/18		7/11/19		2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	accepted for poster presentation	